document_no,sentence_no,content
100,136,"Containers such as Baker Tanks are used to store the water before disposal while water testing results are being evaluated (see Figures 10, 11, and 12)."
100,137,Filtration equipment is used to remove organic and inorganic material to permit disposal levels.
100,138,"The water may be disposed of at a sewer, transported to a disposal facility via a truck or provided to a third party for non- potable reuse."
100,139,How the water is disposed often times depends on permit requirements.
100,140,11.
100,141,"Final Tie-in and commissioning - Stage 5 and 6 Following successful hydrostatic testing and drying process, the final pipeline tie-ins are made and inspected (see Figure 13)."
100,142,The line is then odorized which is a process that will take up to 2 days or more to complete.
100,143,"After odorization is achieved, the tie-in process is completed with flow being opened to all taps."
100,144,Any customers who were being fed by CNG/LNG have their service switched to being fed from the new pipeline.
100,145,Southern California Gas Company 2019 GRC APP10The process for the abandonment of the original line also needs to take place.
100,146,"It begins by purging, isolating the ends and taps, and permanently decommissioning the line which could take a few days to complete."
100,147,12.
100,148,"Cleanup and Restoration - Stage 5 and 6 The final step in the construction process is to restore the street, right-of-way, easement land and lay-down yard as closely as possible to its original condition."
100,149,"This step involves cleaning up the lay-down yard, completing the paving repairs or land restoration as required by the issued permit or land owner."
100,150,Careful attention is paid to ensure future erosion issues are addressed for non-paving involved installations.
100,151,This next section describes the hydrotest project activities as they differ from a pipeline replacement project.
100,152,Hydrotest Project a.
100,153,The trenching/excavating activity for a hydrotest project will involve exposing the pipeline to be tested as follows: b.
100,154,Identified pipeline features will be removed.
100,155,The removal process in general will also involve welding and NDE (see Figure 14).
100,156,c.
100,157,All non-piggable pipeline features will be removed.
100,158,d.
100,159,All pipeline features that cannot be pressure tested will be replaced/removed.
100,160,e.
100,161,"All tap locations (customer lines, regulator station taps, etc.) that are off the main line will be excavated because they need to be isolated before a hydrotest."
100,162,f.
100,163,Each end of the project will be exposed to install test heads.
100,164,This will require a minimum of a 10 foot x 20 foot bell hole.
100,165,There is a small amount of replacement work during a hydrotest project that is necessary to isolate the pipe and install the test heads.
100,166,This replacement activity requires the following: a.
100,167,The small section of pipe is removed at each end.
100,168,b.
100,169,The non-tested line must be welded with a cap that will be cut out after testing is completed.
100,170,c.
100,171,The test heads are welded into place and NDE follows.
100,172,d.
100,173,The pipe is hydrotested.
100,174,e.
100,175,The test heads are cut out and the pig launcher/receiver is installed.
100,176,The drying process takes place after water is removed f.
100,177,The pig launcher/receiver is removed and a new tested section of pipe is installed.
100,178,All taps and main line ties are completed using the welding process.
100,179,"Lastly, since the pipeline is being taken out of service, there could be CNG/LCG activities: deliveries, installation, management and eventually removal required for the individual customers fed off the pipeline being tested (see Figure 15)."
100,180,See the following link for a video describing the process.
100,181,https://www.youtube.com/watch?v=lRFWeTRAcCU Southern California Gas Company 2019 GRC APP11https://www.youtube.com/watch?v=lRFWeTRAcCUThe following section describes the PSEP valve enhancement project activities (retrofits or new valve installations/stations) as they differ from a pipeline replacement project.
100,182,PSEP Valve Enhancement Project a) Some work will occur on SoCalGas and SDGE property which will not always necessitate obtaining a permit.
100,183,"The permits that are obtained may be for assets underground, aboveground or both."
100,184,The valve work may involve obtaining new ROW or easements agreements for installations in new locations.
100,185,"The aboveground work could be extensive with the commissioning of buildings and other structures to house communications, data panels, etc."
100,186,"(see Figure 17) b) For the valve enhancement projects submitted in this application, they are located in both city streets and in the rural areas."
100,187,"The urban valve locations typically require additional assembly space which is frequently larger than the given ROW rights; and therefore, land acquisition activity presents a greater challenge as compared to pipeline work in the streets (see Figure 18)."
100,188,c) The survey and locating activities will include potholing to confirm the depth and alignment of the pipe/valve assembly.
100,189,"Also, the distances of the valve/pipe from sidewalks or other areas will be determined."
100,190,This information is critical to the vault and actuator designs because of the varying heights and horizontal space requirements for the equipment.
100,191,"At times, these activities may determine whether a pipeline needs to be relocated to accommodate a valve installation/retrofit."
100,192,"Lastly, depending on the type of project installation, land may need to be purchased in order to accommodate facilities such as a large valve station that will include small buildings, communication installations, and other structures."
100,193,d) Each valve enhancement project involves significant excavation work that differs from hydrotests or replacement projects.
100,194,Below is a list of possible excavations that may take place on a valve enhancement project: • Expose the existing valve assembly (all sides) and for the installation of a new vault.
100,195,• Install a new valve location and associated vault.
100,196,• Remove pipeline features as required.
100,197,• Bring in new power/communications lines.
100,198,• Install gas control gas piping for sensing functions.
100,199,• Prepare the foundation for retaining wall installations for cabinets or to secure the entire facility.
100,200,"• Install line break cabinets, SCADA buildings, and antennae poles."
100,201,• Install looped grounding systems in the valve station.
100,202,e) Hydrotesting will occur on any new valve assemblies.
100,203,For some projects the test will take place aboveground in the lay-down yard and for other projects it will occur with the main-line pipe which will involve test heads and pig-launcher/receiver assemblies.
100,204,"This concludes the overview of the general construction activities that take place with PSEP replacement, hydrotest and valve enhancement projects."
100,205,"Southern California Gas Company 2019 GRC APP12Note: the following photos were taken on PSEP jobs performed by SoCalGas Figure 1: Trenching in Urban Location Figure 2: Lowering Pipe in Congested City Area Southern California Gas Company 2019 GRC APP13[image: image1.jpg] [image: image2.jpg] Figure 3: Installing Pipe in Trench with Existing Substructures Figure 4: Night Work Construction Site Southern California Gas Company 2019 GRC APP14[image: image3.jpg] [image: image4.jpg] Figure 5: Construction Laydown Yard Figure 6: Shoring Southern California Gas Company 2019 GRC APP15[image: image5.jpg] [image: image6.jpg] TRENCH SHOP Figure 7: Jack and Bore Pit Figure 8: Jack and Bore Operation Southern California Gas Company 2019 GRC APP16[image: image7.jpg] [image: image8.jpg] Figure 9: Lowering Section of Pipe into Trench Southern California Gas Company 2019 GRC APP17[image: image9.jpg] Figure 10: Hydrotest Equipment Figure 11: Hydrotest Set Up with Sound Proofing to Minimize Noise Complaints (located behind Baker tank) Southern California Gas Company 2019 GRC APP18[image: image10.jpg] FOR [image: image11.jpg] R A B 800-7 Figure 12 – Baker Tanks Figure 13: L-2000 Tie-In Construction Southern California Gas Company 2019 GRC APP19[image: image12.jpg] [image: image13.jpg] Figure 14: Feature to be Removed from L-2000W Before Hydrotest Figure 15: CNG for Temporary Bypass Southern California Gas Company 2019 GRC APP20[image: image14.jpg] [image: image15.jpg] BETHANE COMPECHES Figure 16: Above-Ground Pre-Fabrication of Valve Assembly Southern California Gas Company 2019 GRC APP21[image: image16.jpg] CAT Figure 17: Above-Ground Valve Equipment Figure 18: Large Valve Station with Numerous Above-Ground Features Southern California Gas Company 2019 GRC APP22[image: image17.jpg] [image: image18.jpg] J+ 8A WP-G-1-4 Glossary Southern California Gas Company 2019 GRC APP23GLOSSARY OF TERMS The following list of acronyms, terms and high level definitions are intended to accompany the workpapers that support the SoCalGas 2019 General Rate Case Application and specifically testimony SCG-15."
100,206,"These terms describe cost, gas operations, construction and land use terms that may not be commonly understood."
100,207,They also provide the full name for less common acronyms that are referenced in these workpapers.
100,208,This is not a comprehensive or detailed glossary of utility and construction terms.
100,209,"It is assumed that the reader is familiar with basic utility industry and regulatory terms, and as such, those terms and acronyms have been intentionally omitted from this list."
100,210,Acronym Term Definition Actuator A device that causes a valve to move from the open to the closed position and vice versa ASV Automatic Shut-off- Valve A valve that has electric or gas powered actuators to operate the valve automatically based on data sent to the actuator from pipeline sensors.
100,211,"The sensors send a signal to close the valve based on predetermined criteria, generally based on pipeline operating pressure or flow rate."
100,212,Category 1 Includes those pipelines and pipeline segments that have documentation of hydrostatic pressure testing per NTSB Safety Recommendation P-10-2 (Urgent).
100,213,Category 2 Includes those pipelines and pipeline segments that have documentation of pressure testing using a medium other than water.
100,214,Category 3 Includes those pipelines and pipeline segments that have a documented highest historical operating pressure that is at least 1.25 times the current MAOP.
100,215,Category 4 Includes pipelines that lack sufficient documentation of a post-construction strength test to 1.25xMAOP.
100,216,All Category 4 pipeline segments were prioritized for further analysis and action per NTSB Safety Recommendation P-10-4.
100,217,Class 1 An offshore area; or any class location unit that has 10 or fewer buildings intended for human occupancy.
100,218,Class 2 Any class location unit that has more than 10 buildings but fewer than 46 buildings intended for human occupancy.
100,219,"Southern California Gas Company 2019 GRC APP24 Class 3 A Class Location unit that has 46 or more buildings intended for human occupancy or is an area where the pipeline lies within 100 yards (300 feet) of any of the following: building, a small well defined outside area, outdoor theater, or other place of public assembly) that is occupied by 20 or more persons on at least 5 days a week for 10 weeks in any 12-month period."
100,220,(The days and weeks need not be consecutive.) Class 4 A Class 4 location is any class location unit where buildings with four or more stories above ground are prevalent.
100,221,HDD Horizontal Directional Drilling A trenchless method of installing underground pipe.
100,222,Hot Tap The method of making a connection to existing piping without the interruption of emptying that section of pipe.
100,223,The pipe can continue to be in operation while maintenance or modifications are being done to it.
100,224,Hot Tie-in Activity that connects two pipelines together while the source pipeline still contains natural gas.
100,225,Jack-and-Bore Method of horizontal boring sewer construction.
100,226,Construction crews drill a hole underground horizontally between two points without disturbing the surface between sending and receiving pits.
100,227,Jute matting Netting used for erosion control.
100,228,K-rail A term borrowed from the California Department of Transportation specification for temporary concrete traffic barriers.
100,229,"Line-seasoning Also referred to as “pickling” the line, the pre-odorization of gas pipelines to maintain the odorant level of the pipeline."
100,230,MLV Mainline Valve A valve positioned at a location along the pipeline system that can be closed down to isolate a line section in an emergency or for maintenance purposes.
100,231,"MAOP Maximum Allowable Operating Pressure The maximum pressure at which a pipeline or segment of a pipeline may be operated under [49 CFR 192] and the provisions of ASME B31.8. Southern California Gas Company 2019 GRC APP25 Nipple A short stub of pipe, usually threaded steel, brass, chlorinated polyvinyl chloride (CPVC) or copper; occasionally just bare copper."
100,232,"NDE Nondestructive Examination or Nondestructive Testing (NDT) An analysis technique used in science and industry to evaluate the properties of a material, component or system without causing damage."
100,233,This testing is performed on pipelines during construction.
100,234,O&M Operations and Maintenance Costs that support activity that is related to operation and maintenance activities on an asset.
100,235,Piggable A piggable pipeline is a pipeline that is designed to allow a standard inspection tool to negotiate it.
100,236,"RCV Remote Control Valve A Remote Control Valve (RCV) is a valve equipped with electric or gas powered actuators to operate (open or close) the valve based on an order (signal) from a remote location, such as a gas control room."
100,237,RER Request for Engineering Review Formal process by which the engineering department reviews pipeline change requests and determines system impacts based on engineering analysis.
100,238,"ROW Right of Way A strip of land on which pipelines, railroads, power lines, and other similar facilities are constructed."
100,239,It secures the right to pass over property owned by others and ROW agreements only allow the right of ingress and egress for the operation and maintenance of the facility.
100,240,Seven stage project life cycle Also referenced as the Seven Stage Review Process.
100,241,SMYS Specified Minimum Yield Strength The specified minimum yield strength for steel pipe manufactured in accordance with a listed specification.
100,242,Stopple A plug which can stop the flow of gas.
100,243,"Subpart J Subpart J refers to CFR 49 Part 192, Subpart J – Test requirements, which is a section of the Code of Federal Regulations (CFR) that prescribes minimum leak-test and strength-test requirements for pipelines."
100,244,"Southern California Gas Company 2019 GRC APP26SL Supply Line A distribution supply line can be either a transmission line or a distribution main and is operated at a pressure more than 60 psig, and: a) Supplies one or more distribution regulator stations, or supplies three or more customers."
100,245,Test Head A piece of equipment through which water is pumped to conduct a pressure test.
100,246,A pipeline that will be pressure tested has a test head welded to the end of a pipeline segment.
100,247,TIC Total Installed Cost Estimated forecast of a projects final direct costs.
100,248,"TRE Temporary Right of Entry Legal documentation to access public or private property to pass or do work with prior obtained permit, lease, or right-to-entry."
